Project Name,Package Name,Architecture Smell,Cause of the Smell
JHotDraw-5.1-clean,CH.ifa.draw.contrib,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ChopPolygonConnector]; [DiamondFigure]; [PolygonFigure; PolygonHandle; PolygonScaleHandle; PolygonTool; TriangleFigure; TriangleRotationHandle]. LCC (Lack of Component Cohesion) = 0.38
JHotDraw-5.1-clean,CH.ifa.draw.figures,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 33
JHotDraw-5.1-clean,CH.ifa.draw.figures,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ArrowTip; LineDecoration; PolyLineFigure; PolyLineHandle; PolyLineLocator; ScribbleTool; ElbowConnection; LineConnection; ElbowHandle; LineFigure; PolyLineConnector]; [AttributeFigure; EllipseFigure; FigureAttributes; ImageFigure; InsertImageCommand; RectangleFigure; RoundRectangleFigure; TextFigure; FontSizeHandle; NumberTextFigure; RadiusHandle]; [BorderDecorator]; [BorderTool]; [ChopEllipseConnector]; [ConnectedTextTool; TextTool]; [ElbowTextLocator]; [GroupCommand; GroupFigure]; [GroupHandle]; [ShortestDistanceConnector]; [UngroupCommand]. LCC (Lack of Component Cohesion) = 0.33
JHotDraw-5.1-clean,CH.ifa.draw.samples.javadraw,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AnimationDecorator; BouncingDrawing]; [Animator; JavaDrawApp; JavaDrawApplet; URLTool]; [FollowURLTool; JavaDrawViewer]; [MySelectionTool]; [PatternPainter]. LCC (Lack of Component Cohesion) = 0.5
JHotDraw-5.1-clean,CH.ifa.draw.standard,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 54
JHotDraw-5.1-clean,CH.ifa.draw.standard,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractConnector; ChopBoxConnector; LocatorConnector]; [AbstractFigure; CompositeFigure; DecoratorFigure; FigureChangeEventMulticaster; RelativeLocator; StandardDrawing; AbstractLocator; OffsetLocator; NorthEastHandle; EastHandle; NorthHandle; NorthWestHandle; SouthEastHandle; SouthHandle; SouthWestHandle; WestHandle]; [AbstractHandle; ChangeConnectionHandle; ChangeConnectionStartHandle; LocatorHandle; NullHandle; ChangeConnectionEndHandle; ConnectionHandle]; [AbstractTool; ActionTool; ConnectionTool; CreationTool; DragTracker; HandleTracker; SelectAreaTracker; SelectionTool]; [AlignCommand]; [BoxHandleKit]; [BringToFrontCommand; FigureEnumerator; FigureTransferCommand; PasteCommand; StandardDrawingView; CopyCommand; CutCommand; DeleteCommand; DuplicateCommand]; [BufferedUpdateStrategy]; [ChangeAttributeCommand]; [GridConstrainer]; [ReverseFigureEnumerator; SendToBackCommand]; [SimpleUpdateStrategy]; [TextHolder]; [ToggleGridCommand]; [ToolButton]. LCC (Lack of Component Cohesion) = 0.28
JHotDraw-5.1-clean,CH.ifa.draw.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Animatable]; [Clipboard]; [ColorEntry; ColorMap]; [Command; CommandButton; CommandChoice; CommandMenu]; [Filler]; [FloatingTextField]; [Geom]; [Iconkit]; [PaletteButton; PaletteListener]; [PaletteIcon]; [PaletteLayout]; [ReverseVectorEnumerator]; [Storable; StorableInput; StorableOutput]. LCC (Lack of Component Cohesion) = 0.65
